DEFAULT,LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,NINQ,CLNO,DEBTINC
0,16500,52030,158296,20,0,0,0,27,22.48479175
1,16500,43223,46925,10,0,0,4,20,40.20633377
0,16500,44946,64918,25,0,0,0,14,24.35794954
0,16500,48674,73720,17,0,0,0,23,38.37360781
0,16500,8795,164000,23,0,0,2,21,
0,16500,74263,98922,0,0,0,3,20,31.81442935
0,16500,102552,144461,1,,,2,15,34.10788882
0,16500,42317,66966,3,0,0,3,17,35.00637947
0,16500,94920,118156,9,0,0,2,18,32.17163193
0,16500,,29168,11,,,2,8,31.56688527
0,16500,45441,76145,4,0,0,1,8,28.17345068
0,16500,36206,53040,9,0,0,0,9,17.74778355
0,16600,9626,96887,14,0,0,0,23,28.67470198
0,16600,77380,123638,,,,,,34.11861536
0,16600,95860,123546,0,,2,1,29,40.60856748
0,16600,81275,106691,1,0,0,1,20,38.47524099
0,16600,57094,94944,9,0,0,0,15,24.02304824
0,16600,97749,164103,,1,,,23,37.38685429
0,16600,102543,119493,3,0,0,0,33,29.28407186
0,16600,55912,81552,6,,,0,7,36.76375267
0,16600,45877,68563,2,1,0,0,18,33.07304835
0,16600,74784,100221,1,0,0,0,17,25.7083938
1,16600,42259,,1.5,1,3,0,20,
0,16600,,50732,0,0,0,2,9,42.39913928
0,16600,,56631,2,0,0,1,8,39.7995274
0,16600,71564,84627,5,0,0,1,20,22.32314261
0,16600,74681,95471,6,0,0,4,19,40.45375316
0,16600,28694,44165,20,0,1,2,16,30.63902291
0,16600,,43880,,,,,15,31.53428892
0,16600,69644,100411,0,0,0,4,19,29.72574682
0,16600,71096,104437,9,0,0,1,12,37.09953261
0,16700,62933,91790,2,0,0,0,31,35.25727149
0,16700,64862,107919,10,0,0,0,11,36.82433903
0,16700,62933,95498,0,0,1,0,25,24.26256802
0,16700,,29387,13,,,2,8,33.36449134
0,16700,102687,137417,7,0,0,0,14,31.10800492
0,16700,86076,130341,12,0,0,0,18,28.44799241
0,16700,31135,60478,14,0,0,0,18,39.1229968
0,16700,43794,61446,6,0,0,1,9,28.45298086
0,16700,54079,112463,1,,3,1,23,37.03395439
0,16700,51310,76704,2,,2,0,10,37.63005716
0,16700,11059,92706,13,0,1,0,23,29.88475774
0,16700,59207,83146,2,0,0,3,15,43.48806641
1,16700,77083,103540,17,0,0,,10,37.2264306
0,16700,67238,96535,7,,,0,10,39.34965052
0,16700,,56374,1,0,0,1,9,40.82912873
0,16700,29404,45209,20,0,1,2,16,31.05808436
0,16700,12830,56465,3,0,0,0,15,18.25148086
0,16700,53423,85685,5,0,0,0,12,28.16061131
0,16700,5106,93277,14,0,0,0,23,29.87592807
0,16700,105556,136568,0,0,0,0,47,40.04168465
0,16800,57329,83695,3,0,0,2,16,40.62505269
0,16800,76852,90429,6,0,0,3,18,42.2970917
1,16800,44983,65000,4,2,1,6,43,
1,16800,27623,88231,8,0,0,0,12,55.96202222
0,16800,56979,90008,10,0,2,1,12,27.8164203
1,16800,69284,,21,0,0,1,20,35.89402586
0,16800,50050,140222,4,0,0,5,43,40.03337824
0,16800,23670,41879,17,1,0,0,17,26.69671626
0,16800,62557,95747,0,0,0,1,31,35.28584474
1,16800,16204,27781,1,10,0,0,9,27.14688565
1,16800,113021,146222,5,3,2,2,65,62.55930782
0,16800,67049,89729,,0,0,0,20,28.73912802
0,16800,81820,100366,6,0,1,,41,36.21162681
1,16800,87300,155500,3,0,0,0,0,
1,16800,50445,71711,5,0,0,5,18,40.58291348
0,16800,73280,103067,1,0,0,0,17,34.00229537
0,16800,102838,111319,1,0,0,0,34,27.57659689
0,16800,46312,67166,27,0,0,0,14,26.22071743
0,16800,50135,93772,5,0,0,2,21,35.85635489
0,16800,58193,82942,1,0,0,3,16,42.84596286
0,16800,39352,60943,25,0,0,0,13,25.43988824
0,16800,144756,183810,11,0,0,0,20,26.73398284
0,16800,94851,119053,2,0,1,1,34,27.00923929
0,16800,115870,130809,15,0,0,0,17,39.56720816
0,16900,131002,166859,4,0,0,0,20,28.15188528
0,16900,,51549,1,0,0,1,8,40.62819923
0,16900,30856,56961,11,0,0,1,10,20.34458217
0,16900,71672,96677,1,0,0,0,30,35.32783617
0,16900,47129,62342,15,0,0,0,21,30.3185968
0,16900,31143,75125,,1,0,0,49,42.13228057
1,16900,63800,85000,2,0,6,2,33,
1,16900,73128,101683,26,0,0,0,45,38.51230869
0,16900,66812,90973,9,,,0,10,37.46901795
0,16900,68940,88264,0,0,0,0,25,24.95531142
0,16900,67111,96985,21,0,0,1,23,37.32471132
0,16900,116357,209364,4,0,0,0,16,27.9002639
0,16900,53252,89720,29,0,0,0,22,33.01615312
0,16900,88143,115365,19,0,0,0,16,24.96285137
0,16900,43643,80639,3,0,0,1,8,28.89595485
0,16900,61847,91671,9,0,0,0,20,21.34825451
0,16900,78455,121450,,,,,,33.74237455
0,16900,17988,137328,9,0,0,0,10,41.90205419
0,16900,102108,117650,9,0,0,1,19,29.64517729
0,17000,73644,107086,0,0,0,2,20,37.77195785
0,17000,125257,161009,3,0,0,1,21,27.6372066
0,17000,10866,171952,24,0,0,2,21,29.84695874
1,17000,,,1,0,0,0,21,31.36287239
0,17000,70039,100993,7,0,0,1,11,36.56433032
1,17000,54218,75000,5,1,0,6,35,
0,17000,51682,67688,2,0,0,0,18,33.05063637
0,17000,83248,95886,8,0,2,,41,36.05994724
0,17000,97713,164869,,0,,,23,36.45229579
0,17000,125728,159770,,0,0,0,18,37.00837378
0,17000,31772,60289,6,0,0,0,13,31.12574653
0,17000,134689,158661,,0,0,0,19,36.42557176
0,17000,86341,133564,15,0,0,0,18,28.36821059
0,17000,66894,75360,8,,,,,25.26009868
0,17000,27088,166437,7,0,0,0,27,26.15671788
0,17000,70085,81598,7,0,0,1,20,21.98183572
0,17000,97438,158780,0,0,0,1,18,38.79674995
0,17000,45671,64516,27,0,0,0,13,25.7012056
0,17000,6778,60065,0,0,0,0,5,38.83660184
0,17000,26228,60979,7,0,0,0,13,29.62867649
0,17000,63450,92816,10,0,0,1,16,25.71867108
0,17000,54780,93091,4,0,0,1,21,37.50862467
0,17000,73184,96889,0,0,0,0,16,28.00439848
0,17000,60483,85015,4,0,0,0,12,27.29874318
1,17000,52663,82000,,,,,,
1,17000,36420,54375,1,1,0,1,18,
0,17000,53058,74000,17,1,0,1,21,
0,17000,23200,85000,9,0,0,1,21,
0,17000,47000,112720,16,0,0,0,20,
0,17000,86000,119600,12,,,,25,
0,17000,12613,85000,21,0,0,3,41,
0,17000,152900,191146,7.5,0,0,2,16,
0,17000,55820,88683,0.5,0,0,0,23,
1,17000,74910,112375,41,0,0,3,28,
1,17000,87600,110000,0.4,6,0,2,46,
1,17000,52700,78000,2,0,0,0,10,
1,17000,61000,127000,9,0,5,0,40,
1,17000,62755,81180,19,2,0,2,28,
1,17000,56800,82000,22,0,5,4,28,
1,17000,89600,115000,20,,3,0,23,
1,17000,48000,69000,25,0,0,3,24,
1,17000,43000,63500,8,0,0,3,11,
0,17000,118822,208429,3,0,0,0,16,25.87399085
0,17000,96065,116416,14,0,0,2,8,34.75618581
0,17000,97517,141718,2,,,3,15,31.16602944
0,17000,51018,108148,0,,2,0,23,40.24125987
1,17000,170636,188899,1,4,0,1,13,44.7515722
0,17000,98451,138012,3,,,2,15,33.95359392
0,17000,82662,111357,17,0,0,4,30,37.31611992
0,17000,108154,134103,1,0,0,0,46,39.67697661
0,17000,25638,128433,10,0,0,0,9,39.10689638
0,17100,56791,94396,7,0,0,1,21,36.1073409
0,17100,48471,71546,5,0,1,3,32,29.81874354
0,17100,19126,88969,21,0,0,2,41,38.89637818
0,17100,,96036,27,0,0,0,15,12.4986698
0,17100,100082,119585,1,0,0,0,29,34.73427716
0,17100,22162,128989,11,0,0,0,9,40.64091611
0,17100,53983,73688,5,,,0,9,36.92038565
0,17100,123463,160487,4,0,0,0,21,25.70412779
0,17100,49951,111291,1,,2,1,23,39.48719814
0,17100,74922,91187,0,0,0,0,16,26.76776884
0,17100,59123,94247,0,0,0,0,22,37.19508553
0,17100,46953,69086,6,0,0,2,11,29.2491436
0,17100,43085,68758,7,0,1,3,49,30.3535487
0,17100,92853,130864,6,,,3,41,37.49264563
1,17100,32134,69131,3,0,0,0,6,38.632967
0,17100,54598,115838,14,0,0,0,20,25.63211643
0,17100,,60781,8,0,0,0,14,27.71993814
0,17100,27842,74459,,0,0,0,49,44.55215415
0,17100,104652,169076,,1,,,23,38.46522769
0,17100,117337,131575,16,0,0,0,17,39.17643246
0,17100,91502,113251,18,0,0,0,16,24.45832061
0,17200,51352,64386,27,0,0,1,17,36.78730595
0,17200,62514,96633,25,1,0,1,24,36.7023407
0,17200,59698,89715,9,0,0,1,16,23.34562321
0,17200,94937,133859,6,,,2,42,36.79087533
0,17200,6126,88603,13,0,1,0,23,30.0987967
0,17200,7044,57831,0,0,0,0,6,37.94331514
0,17200,103519,118074,0,0,0,1,21,41.41835285
0,17200,89507,121047,14,0,0,1,9,34.6028274
0,17200,52011,65800,7,0,1,2,48,30.55651187
0,17200,11950,170000,22,0,0,1,20,28.82169866
0,17200,43996,79419,5,0,0,0,9,28.6621734
0,17200,33073,85654,7,0,0,1,20,28.27488887
1,17200,50742,71000,15,0,0,0,0,
0,17200,39316,66978,4,0,0,1,10,26.43708406
1,17200,74402,,13,0,1,4,34,41.35903633
1,17200,62108,,21,0,0,1,21,34.53892537
0,17200,48999,76544,5,0,0,3,31,32.84175391
0,17200,35116,60489,17,0,0,1,18,38.80624071
0,17200,85977,109238,3,0,0,1,25,38.94891874
0,17200,45900,68126,4,0,0,0,17,34.17904688
0,17200,52276,69860,0,0,0,0,25,30.58796698
0,17200,53849,102326,1,0,3,1,9,39.99115424
0,17200,90567,118761,14,0,0,2,9,34.78487038
0,17200,99204,119490,9,0,0,1,18,30.3013654
0,17200,48427,66082,29,0,0,1,16,38.39363467
0,17200,62840,92946,5,0,0,0,11,27.50354017
0,17200,17234,43310,1,0,0,0,15,38.31851469
0,17200,55254,118718,15,0,0,0,20,26.69615871
0,17200,27230,82319,,0,0,1,50,43.75679409
0,17300,40280,66319,4,0,0,2,9,27.97593545
0,17300,91132,110440,10,0,0,2,19,36.42721874
0,17300,51185,65537,6,0,1,3,49,29.31159406
0,17300,35070,63862,16,0,0,1,17,37.93651965
0,17300,79412,114906,17,0,0,4,30,36.53643556
1,17300,73000,95000,5,2,1,6,30,
0,17300,99064,156306,4,0,0,0,16,35.75006044
0,17300,44031,79187,0,,1,1,10,35.98666991
0,17300,20798,37980,2,0,0,0,16,37.76321101
0,17300,90768,116052,13,0,0,2,9,35.81087795
0,17300,65444,91244,8,0,0,0,19,21.57338522
0,17300,65136,83847,6,0,0,0,20,24.5182717
0,17300,110614,137552,6,0,0,0,13,31.34436552
1,17300,73503,91842,0,0,6,1,32,46.90232438
0,17300,91350,107834,3,0,0,0,24,37.61084501
0,17300,65077,91991,0,2,3,2,26,35.90776048
0,17300,96138,124066,1,,2,0,30,40.40450623
0,17300,32736,49100,4,0,0,0,34,38.563081
0,17300,57358,71617,0,0,0,0,25,30.53780606
0,17300,51107,64135,4,0,0,0,17,32.25108612
0,17300,48132,78889,4,0,0,0,8,28.29822706
0,17400,,48971,,,,,17,32.47431947
0,17400,77350,101271,0,0,0,1,18,34.38702843
0,17400,61035,90434,4,0,0,0,12,25.35719461
0,17400,58941,88470,4,0,0,0,12,25.55759334
0,17400,62824,82243,5,,,0,7,34.81844499
0,17400,25859,43684,16,1,0,1,17,27.10761957
0,17400,24687,37391,2,0,0,0,16,38.25139203
0,17400,43110,73614,1,0,0,1,8,26.37910802
0,17400,11147,166496,23,0,0,1,19,29.53166415
0,17400,42876,66085,26,0,0,1,16,38.02752168
0,17400,45861,61256,7,0,0,3,48,30.18656747
1,17400,54161,75500,4,0,0,5,11,
0,17400,44479,78121,1,0,0,0,9,27.13398944
0,17400,97072,155146,0,0,0,0,19,40.50796477
1,17400,96590,112115,0,6,0,2,46,41.11788749
0,17400,113890,135146,16,0,0,1,17,37.6335491
0,17400,49765,66782,27,0,0,1,16,39.3830645
0,17400,25844,83229,,0,0,0,50,43.70133124
0,17400,123579,168243,4,0,0,0,20,26.60351151
0,17400,166345,202989,10,0,0,0,37,24.35659356
0,17400,55575,78661,17,1,0,1,20,38.99143137
0,17400,102228,115898,0,0,0,0,30,35.11415035
0,17400,56111,114521,2,,2,1,24,38.69508356
0,17400,64163,84948,12,0,2,0,13,27.9796944
1,17400,79623,113658,0,0,2,2,25,35.10671964
0,17500,92986,114276,13,0,0,2,8,36.25138573
0,17500,99853,163401,0,0,0,1,18,37.82861717
0,17500,17889,94453,19,0,0,2,41,35.74477089
0,17500,101354,117209,1,0,0,0,30,36.8517233
0,17500,133243,154513,,0,0,0,18,37.46299196
1,17500,76100,98500,5,10,1,5,16,
0,17500,49968,68025,3,0,0,0,18,34.10902705
0,17500,73071,94267,1,0,0,3,19,32.27680932
0,17500,153839,194027,7,0,0,1,15,29.1136512
0,17500,51102,69532,5,0,0,2,49,31.49594572
0,17500,100642,138550,3,,,3,16,32.17638026
1,17500,110603,142000,1,1,0,3,25,
1,17500,56647,78000,11,3,2,7,29,
1,17500,68000,133015,19,1,1,5,21,
0,17500,46636,72908,7,0,0,3,15,41.51229209
0,17500,90221,113564,19,0,0,1,17,27.02943897
0,17500,85183,108948,4,0,0,1,25,37.10302599
0,17500,61524,87188,3,0,0,1,13,25.40157
1,17500,91000,116000,0.5,0,0,3,26,
0,17500,87294,114031,15,0,0,2,8,34.46794
0,17500,103562,130613,1,0,0,0,47,39.35835753
0,17500,102858,138977,2,,,2,15,31.66931945
0,17500,23288,94904,8,0,0,0,20,29.67538222
0,17600,39057,50933,6,0,0,1,35,39.30107072
0,17600,53707,80407,17,1,0,0,21,36.49405393
0,17600,,96188,,0,0,0,9,30.87931729
0,17600,56090,103992,1,0,2,1,10,39.08182644
0,17600,62996,86817,12,0,1,0,14,29.20365458
0,17600,73354,96526,0,0,0,1,18,33.05249321
0,17600,72232,103081,1,0,0,0,18,36.30996249
0,17600,79122,96116,1,0,0,1,18,35.5896626
1,17600,76043,95605,3,2,1,6,30,47.84029512
0,17600,44571,66088,2,0,0,0,17,30.87190179
0,17600,,45119,,,,,17,34.49504666
0,17600,29201,41396,19,0,0,1,16,23.93494584
0,17600,67285,90816,1,1,2,2,25,35.59225354
0,17600,64857,82449,1,0,0,3,15,43.47886256
0,17600,59347,68667,0,0,0,0,25,30.05232395
0,17600,71983,97939,1,0,0,3,19,29.80858977
0,17600,106381,134476,0,0,0,0,47,38.58165872
0,17600,62198,101183,21,0,0,1,23,39.13975656
0,17600,71366,87862,5,0,0,0,20,23.40013712
0,17600,39063,54561,17,0,0,1,17,38.91921033
0,17600,48487,65665,6,0,0,2,15,43.76968491
0,17600,,66000,7,0,0,0,14,27.09089472
0,17600,88661,114922,13,0,0,1,7,36.76627363
0,17600,61093,97551,0,0,0,0,22,35.5629932
0,17700,10847,94611,14,0,1,0,22,27.2833953
0,17700,17480,41055,1,0,0,0,15,37.92365952
0,17700,64964,88856,5,0,0,0,19,21.93300632
0,17700,111612,128416,14,0,0,0,17,39.77062845
0,17700,93302,116668,20,0,0,0,16,25.2259102
0,17700,50886,106673,2,0,2,1,10,40.85911311
0,17700,60260,90196,11,0,1,0,14,29.60717111
0,17700,36253,57420,3,0,0,1,34,37.93457008
0,17700,,56402,3,0,0,2,8,38.68550628
0,17700,107395,133433,6,0,0,0,13,27.59227738
0,17700,71399,96588,7,0,0,0,16,33.62658567
0,17700,98476,136319,2,,,3,16,32.22102484
0,17700,85150,113104,11,0,0,2,19,38.96287206
1,17700,58016,76416,4,0,0,5,10,41.46337333
0,17700,47064,71698,3,0,0,3,32,30.40320383
0,17700,,55796,1,0,0,2,8,40.20948611
0,17700,56375,90435,0,0,0,0,23,36.02327677
0,17700,72911,97317,1,0,0,0,17,25.32925087
0,17700,82302,111228,4,0,0,0,25,37.1605612
0,17800,61494,85864,2,0,0,3,15,40.24631208
0,17800,38770,64357,17,0,0,0,21,27.97949547
0,17800,39686,67246,5,0,0,1,10,27.5758097
0,17800,83080,108348,1,0,0,0,25,36.45908768
0,17800,,95639,,0,0,1,9,33.14225722
0,17800,107736,113100,1,0,0,2,20,38.93711224
0,17800,56956,74305,0,0,0,0,24,31.81747192
0,17800,60611,89943,29,0,0,0,21,30.81324059
0,17800,58942,91483,5,0,0,0,13,28.15595999
0,17800,68889,85642,0,2,2,2,25,34.62992201
0,17800,100277,163702,,1,,,24,36.35403645
0,17800,51689,115660,16,0,0,0,19,27.46700181
0,17800,137169,182280,12,0,0,0,21,28.84644812
0,17800,13839,171378,23,0,0,2,21,31.35960953
0,17800,13660,173360,23,0,0,2,21,30.06279232
0,17800,8642,88369,13,0,0,0,22,26.48079237
0,17800,36902,57622,9,0,0,0,10,19.14211657
0,17800,54003,116434,18,0,0,0,19,24.25197177
0,17800,69306,94504,7,0,0,0,15,32.2942169
0,17800,56432,157665,20,0,0,0,27,20.07933438
0,17800,44326,79651,4,0,0,3,32,32.50901207
1,17900,70046,135917,1,1,2,0,16,38.2892023
0,17900,37265,53214,2,0,0,0,34,39.83150056
0,17900,62697,89848,7,0,0,0,19,24.07219136
0,17900,72501,94488,1,0,0,3,19,29.96118901
0,17900,97335,167384,,0,,,24,39.15632328
0,17900,63559,81536,13,0,3,0,13,26.18976709
0,17900,66823,91680,0,0,0,0,18,27.71065729
0,17900,38233,63578,6,1,0,2,9,26.5188307
0,17900,70444,95860,7,,,0,11,38.14282274
1,17900,96450,135822,6,0,1,6,5,
0,17900,102054,143103,5,,,2,16,32.84743505
0,17900,56273,111507,1,,2,1,23,39.49148711
1,17900,51080,92051,10,0,0,0,31,42.373233
0,17900,46342,68029,26,1,0,1,17,36.07297543
0,17900,110332,130756,2,0,1,1,47,41.9463752
0,17900,68779,98623,1,0,0,0,17,26.40566665
1,17900,,31953,10,0,1,1,2,29.97560335
0,18000,68000,98898,10,0,0,2,13,
0,18000,49255,61752,8,0,0,3,49,30.03372238
0,18000,62216,85503,3,0,0,2,15,41.43939067
0,18000,97523,130166,5,,,3,42,40.59168739
0,18000,63508,94991,1,0,0,0,25,23.58566428
0,18000,65836,100292,22,0,0,0,24,36.33819671
0,18000,,53365,,,,,17,30.57565003
0,18000,72152,102671,7,0,0,0,16,32.88687523
0,18000,88509,112933,4,0,0,1,21,23.20094121
0,18000,84824,115146,21,0,0,0,16,27.09752347
0,18000,23252,50750,16,0,0,1,20,
0,18000,46865,61266,5,0,0,2,9,26.35375338
0,18000,105000,172500,6,0,0,4,24,
0,18000,23000,46000,0.2,,,,25,
0,18000,7051,66200,,0,0,0,22,
0,18000,88000,131300,14,0,0,2,26,
0,18000,124000,195000,13,0,0,0,22,
0,18000,94554,119000,1,0,1,1,20,
0,18000,90000,120600,25,0,0,3,17,
0,18000,45000,68500,10,0,0,1,42,
0,18000,56000,78000,4,0,0,0,16,
1,18000,62000,160800,15,0,0,1,11,
0,18000,12900,21500,5,3,0,0,33,
0,18000,57988,86970,16,0,0,2,14,
0,18000,99401,140000,8.9,2,0,3,20,
0,18000,39005,60000,10,2,0,5,5,
1,18000,47000,69000,6,3,2,2,24,
0,18000,52301,79959,1,,1,0,9,37.16369797
0,18000,55169,114786,2,,2,0,24,37.54773286
0,18000,100822,118817,0,0,0,0,30,37.87741107
1,18000,48724,72654,7,0,0,0,4,31.57029892
0,18000,161413,196860,7,0,0,2,16,30.77816684
0,18000,90275,135792,13,0,0,1,26,33.33696079
0,18000,74162,89823,0,2,1,1,26,34.02520751
1,18000,114000,147140,5,0,0,2,13,
0,18000,50409,78404,9,0,0,0,42,39.48302397
0,18000,54196,71412,10,0,0,1,42,37.3521051
0,18000,41814,62845,27,0,0,0,14,23.53704523
0,18000,,97026,,0,0,1,9,30.67551037
0,18000,107546,176314,6,0,0,3,23,40.15214366
0,18100,81916,104048,0,0,0,0,18,33.67802577
0,18100,144692,183630,11,0,0,0,21,27.38411651
0,18100,53524,102133,0,0,3,1,9,40.61679727
0,18100,46145,72200,11,0,0,0,42,40.57402248
1,18100,23590,215548,10,7,2,10,41,33.27229752
0,18100,57864,164069,19,0,0,0,27,21.46927181
0,18100,71814,89941,10,0,0,3,11,32.28540549
0,18100,62783,86066,0,0,0,2,15,43.6177143
0,18100,89454,119019,13,0,0,1,8,37.52527269
0,18100,112832,182418,8,0,0,3,23,40.29869891
0,18100,95322,119643,2,0,0,1,20,42.1192853
0,18100,22203,138057,8,0,0,1,10,40.87438208
0,18100,73356,86885,10,0,0,3,12,31.57101889
0,18100,27186,77694,,0,0,0,50,43.72793048
0,18100,27239,39723,17,0,0,1,16,24.44945281
0,18100,23928,55734,17,0,0,0,19,37.94552227
0,18100,32554,92419,8,0,0,1,20,29.01660998
0,18100,18611,171194,5,0,0,0,26,27.19915401
0,18200,50250,72000,10,2,0,3,28,
0,18200,93702,158647,4,0,1,0,16,34.70993598
0,18200,16386,170310,23,0,0,2,20,29.80460145
1,18200,67809,89339,0,3,0,2,19,38.34534078
0,18200,13925,94898,22,0,0,2,41,35.99822541
0,18200,34593,56658,15,0,0,1,18,36.92663479
0,18200,49653,159076,20,0,0,0,27,20.41593161
0,18200,94727,136877,15,0,0,2,26,36.05643747
1,18200,55406,78682,,0,0,0,39,33.6938313
0,18200,4447,21510,,0,0,2,19,
1,18200,139000,171350,0.1,0,1,7,18,
0,18200,97146,124195,24,0,0,2,17,32.72169498
0,18200,61690,89963,15,0,2,0,14,27.94667597
0,18200,61554,94510,2,0,0,0,24,23.89655471
0,18200,4927,30198,,0,0,1,19,41.23052688
0,18200,53646,156048,20,0,0,0,27,20.85606753
0,18200,120966,208782,4,0,0,0,17,27.43664604
0,18200,62141,90434,0,0,0,0,22,35.35728725
0,18200,68743,92112,0,0,0,0,16,26.69266663
1,18200,95091,113294,15,0,3,0,36,78.65438605
0,18200,78077,105522,0,0,0,2,22,38.9396509
0,18200,63852,93356,1,0,0,0,31,33.20940925
0,18200,39109,62371,25,0,0,0,13,24.74818104
0,18200,57980,79265,16,0,0,0,20,37.72576061
0,18300,40018,65355,16,1,0,0,21,28.36288297
0,18300,90337,103864,3,0,0,0,25,39.72048898
0,18300,109437,114900,1,0,0,1,20,38.33231689
0,18300,55584,95236,10,0,0,1,15,24.59063319
0,18300,121001,210685,2,0,0,0,16,26.86050033
0,18300,26982,59552,15,0,0,1,19,36.29961798
0,18300,63351,87645,1,0,0,3,15,43.90230255
0,18300,109192,139384,6,0,0,0,14,29.3975931
0,18300,90099,118545,12,0,0,3,18,38.89923169
0,18300,31427,60249,16,0,0,0,18,40.00125599
0,18300,35975,60500,13,0,2,1,22,
1,18300,60100,82506,10,3,1,2,64,
0,18300,73510,95132,0,0,0,0,17,25.24404629
0,18300,93728,153093,5,0,0,0,16,36.21398749
0,18300,68096,99051,1,0,0,0,17,27.63351648
0,18300,68517,97151,7,0,0,0,15,32.00405609
0,18300,12169,93564,13,0,1,0,23,30.26921818
0,18300,89455,124840,13,,,,24,29.9624015
0,18300,67550,95440,3,0,0,0,25,22.85499927
0,18400,68655,94322,8,0,0,0,15,32.74121014
0,18400,89101,118748,7,0,0,2,21,21.76282696
0,18400,65519,89276,0,1,2,2,26,36.35420324
1,18400,88352,110216,1,0,0,3,31,47.83067113
0,18400,94280,122172,23,0,0,2,16,33.36352866
0,18400,63569,95729,23,0,0,0,23,38.41536702
0,18400,61049,96397,2,0,0,0,23,35.42557919
0,18400,99902,125249,26,0,0,2,16,33.48854738
1,18400,72718,98065,8,0,0,0,19,35.36412843
1,18400,116228,148722,1,0,0,2,25,38.07976182
0,18400,110580,137926,6,0,0,0,13,29.11688772
0,18400,94952,129177,12,,,,24,29.96750585
0,18400,83548,111626,9,0,0,3,17,37.07811779
0,18400,16756,66340,,0,0,0,21,38.6626294
0,18400,40673,60418,27,0,0,0,13,24.98029896
0,18400,41730,59750,6,1,0,1,10,27.91184544
0,18400,48970,69559,20,0,0,0,23,39.70798807
0,18400,75491,101745,0,0,0,1,20,38.75029966
1,18400,43188,68876,,0,0,6,25,41.00610329
0,18400,62300,95869,2,0,0,1,31,35.18944727
0,18500,57174,91772,4,0,0,0,13,28.90447884
0,18500,46555,69186,19,0,0,0,22,38.18814386
0,18500,,94125,,1,0,0,11,30.93141022
0,18500,26389,85552,7,0,0,1,21,27.35620808
0,18500,14517,95150,11,0,0,0,22,27.47858304
0,18500,102472,115719,0,0,0,0,30,34.24344096
0,18500,10934,66367,1,0,0,0,5,38.15167101
0,18500,14111,71628,,0,0,0,22,39.61154172
0,18500,65165,90805,2,0,0,0,25,25.37204765
0,18500,81938,106187,2,0,0,1,21,40.0388411
0,18500,23618,37539,1,0,0,0,15,36.9827292
0,18500,67686,95949,9,0,0,0,16,31.80824299
0,18500,42683,68000,3,0,0,0,12,
0,18500,67290,95750,,2,1,2,14,
0,18500,71000,95000,6,0,0,7,24,
0,18500,49367,71485,10,0,0,1,42,37.77222165
0,18500,99474,127470,22,0,0,3,16,30.99602763
0,18500,38145,59415,25,0,0,0,14,23.87079226
0,18500,90150,122767,12,,,,25,33.46387238
0,18600,72860,90347,0,1,1,2,26,36.02592528
1,18600,73473,105848,9,0,4,1,14,27.64603658
0,18600,84874,115759,9,0,0,3,18,39.83431993
0,18600,47199,70134,8,0,0,3,15,43.50793855
1,18600,23850,61808,12,0,0,0,8,40.8529275
0,18600,60709,89683,1,0,0,2,16,43.75656604
0,18600,58992,86816,4,0,0,0,16,40.95659824
0,18600,96993,134785,14,0,0,2,25,33.36326972
0,18600,23792,79716,,0,0,0,50,42.12712426
0,18600,14167,71194,,0,0,0,21,40.24690114
0,18600,98200,123662,0,,3,0,29,41.05065735
0,18600,100144,153751,4,0,0,0,16,34.89273362
0,18600,20915,40098,2,0,0,0,16,40.25003373
0,18600,38674,63641,23,0,0,0,13,25.18098984
0,18600,50167,96312,5,0,0,1,21,36.3773222
0,18600,39783,59196,17,0,0,0,21,29.77480684
0,18600,119741,212530,4,1,0,0,17,27.07376116
0,18600,48711,69611,2,0,0,0,17,33.69118802
1,18600,64248,82690,0,1,0,0,23,53.84821989
0,18600,49385,70220,6,0,0,2,32,30.73139653
0,18600,57300,8000,6,,,1,17,
0,18600,132785,155644,,0,0,0,20,37.32857399
0,18600,43438,69441,1,0,0,0,11,35.80007142
0,18600,,95085,,0,0,1,10,32.25091533
0,18600,,20700,6,0,0,1,19,
0,18600,80970,101244,0,0,0,2,20,39.80899322
0,18600,15243,172611,25,0,0,2,21,29.0958828
1,18600,51936,75278,3,0,0,0,21,36.99564584
0,18600,96476,119780,0,,2,0,29,40.80574336
0,18700,37883,64763,25,0,0,0,13,23.62120308
0,18700,58498,90135,30,0,0,0,21,33.18223949
0,18700,65458,84639,0,1,2,2,25,33.6906879
1,18700,39441,71345,11,0,4,0,13,27.69164816
0,18700,69954,104510,10,0,0,2,13,33.54985877
0,18700,11886,63762,0,0,0,0,5,39.67583359
0,18700,47903,63933,3,0,0,1,17,32.97759665
0,18700,136790,178135,12,0,0,0,21,30.11861356
0,18700,99003,162566,,1,,,23,39.20903917
0,18700,63990,94035,9,0,0,0,14,25.78335659
0,18700,110292,132953,7,0,0,0,14,30.55275232
0,18700,50354,79011,1,,1,1,10,35.13903436
0,18700,68196,89641,0,2,1,1,26,34.41462163
0,18700,93210,109980,7,0,0,2,20,22.49623552
1,18700,70562,91223,27,0,2,4,35,64.2724769
0,18700,66197,83151,12,0,2,0,14,29.3494858
0,18700,66891,94454,0,0,0,3,20,32.78419351
1,18700,66003,82410,0,1,0,1,23,51.5173853
0,18700,45365,71853,7,0,0,3,15,41.38874759
0,18700,59929,89526,0,0,0,0,22,35.08734865
